Domaine,Fonctionnalité,Ce que ça fait,Statut,Phase,Notes
Monde & lieux,Un désert qui se génère tout seul,"Hors des villes, les cellules de terrain vague se génèrent à la première visite (danger, récup', ruines) puis restent identiques pour toujours — un trou à moitié creusé est toujours là à votre retour.",PRÉVU,Phase 4b,
Monde & lieux,Caches enterrées & trésors,"Enterrez des objets à un endroit précis du désert et récupérez-les plus tard ; des sites au trésor et des lieux de quête se cachent dans le monde.",PRÉVU,Phases 4b & 6,
Monde & lieux,Des transports où l'on embarque vraiment,"Bus, trains et maglevs sont de vrais espaces intérieurs — on monte à bord, on voyage avec d'autres passagers (et on peut roleplay pendant le trajet), on descend à destination. C'est ainsi qu'on voyage entre les villes.",PRÉVU,Phase 4c,"Plus tard : pannes, contrôles, braquages."
Monde & lieux,Scènes privées & instances d'événement,"Un groupe peut créer une copie privée d'un lieu pour une scène consentie — les participants disparaissent du public. Les gros événements (le braquage d'une banque qui déclenche l'alarme) capturent tous les présents dans une copie privée avec des PNJ gardes ; les curieux ne peuvent pas débarquer quand la nouvelle se répand. Les conséquences sur les personnages sont toujours conservées ; les dégâts au décor persistent ou s'annulent selon l'événement.",PRÉVU,Phase 10,
Déplacement,"Clic pour se déplacer, pas à pas","Cliquez une destination et votre personnage y marche case par case, un pas toutes les ~2 secondes, chaque pas en glissé fluide. Volontairement posé et social — la vitesse de marche est la même pour tous.",PARTIEL,Phase 1,"Une démo solo fonctionne aujourd'hui ; la Phase 1 la rend gérée par le serveur et multijoueur."
Déplacement,Voir les autres joueurs bouger en direct,"Les pions des autres joueurs apparaissent, glissent et partent en temps réel dans le même espace que vous.",PRÉVU,Phase 1,"C'est le jalon en cours : « deux navigateurs arpentent une rue et se suivent »."
Déplacement,Position sauvegardée & reconnexion,"Déconnectez-vous n'importe où : vous y êtes encore à votre retour. Une brève coupure garde votre personnage en place ~30 secondes.",PRÉVU,Phase 1,
Chat,Cinq volumes de voix,"Chuchoter (1 case), murmurer (3), parler (10), crier (25), hurler (tout l'étage). Chaque mode a son style dans le journal, du petit et discret au gras et accentué.",PRÉVU,Phase 2,
Chat,Distance et murs dégradent la parole,"Près de la limite de portée, des mots sautent (« … ») ; à l'extrême limite vous n'avez plus que « Vous entendez quelqu'un crier non loin » et une direction. Un hurlement à travers un mur arrive comme un hurlement étouffé.",PRÉVU,Phase 2,
Chat,Messages interactifs,"Les messages sont riches, pas du simple texte : survolez un nom dans le journal et le pion de cette personne s'illumine sur la carte ; glissez un objet de votre inventaire sur le chat pour l'exhiber (carte cliquable) ; les jets de dés s'insèrent comme résultats certifiés.",PRÉVU,Phase 2,
Chat,Les classiques du roleplay,"/me pour les actions, /ooc pour le hors-jeu (« (( )) » marche aussi), /roll pour des dés lancés par le serveur. Anti-spam avec mises en sourdine progressives.",PRÉVU,Phase 2,
Chat,Bulles de dialogue,"La parole s'affiche au-dessus des pions sur la carte. Même un chuchotement inaudible apparaît comme « * * * » — vous voyez QUE quelqu'un chuchote.",PRÉVU,Phase 2,
Chat,Votre personnage se souvient de ce qu'il a entendu,"À la connexion, la fenêtre de chat recharge ce que CE personnage (pas le compte — les alts ne partagent rien) a réellement perçu, exactement comme il l'a perçu sur le moment.",PRÉVU,Phase 2,"Fenêtre : les 7 derniers jours ou les 20 derniers messages, au plus petit des deux."
Chat,La parole affectée par votre état,"L'ivresse fait bafouiller (résistée par le Corps) ; une mâchoire blessée coupe les mots ; les coups de feu couvrent la conversation pour quiconque n'a pas de protection auditive ; une grenade aveuglante blanchit votre chat et votre écran.",PRÉVU,Phase 12+,"Le chat est construit dès le départ pour que tout cela se branche sans refonte."
Chat,Archive complète pour la modération,"Chaque message est journalisé en intégralité pour les maîtres de jeu — même un chuchotement que personne n'a entendu — avec une longue durée de rétention. Distinct de l'historique personnel des joueurs.",PRÉVU,Phase 2,
Combat & mort,Combat au tour par tour sur la carte,"Pas d'écran de combat séparé. Un affrontement crée une zone visible autour des combattants ; le combat se joue en tours (bouger, attaquer, utiliser un objet, ou se désengager) avec un chrono de ~30–45 s par tour. Les personnages vifs agissent plus tôt.",PRÉVU,Phase 7,
Combat & mort,Les badauds peuvent être happés,"La zone de combat suit les combattants quand ils bougent ; quiconque est touché par la zone entre dans le combat. Les combats qui se chevauchent fusionnent.",PRÉVU,Phase 7,
Combat & mort,Fuir = courir pour de vrai,"Pas de « bouton fuite » — on s'échappe en sortant physiquement de la zone sur un ou plusieurs tours, pendant que les poursuivants la traînent avec eux.",PRÉVU,Phase 7,
Combat & mort,"À terre, pas mort","Perdre un combat vous laisse hors d'état. Tuer exige d'exécuter délibérément un personnage à terre (ou des dangers mortels du décor).",PRÉVU,Phase 7,
Combat & mort,Les Limbes — la mort est un lieu,"Les morts se réveillent dans les Limbes : une ville à part où votre personnage reste entièrement jouable — chat, roleplay, et avec le temps sa propre société. La violence y est plafonnée à la mise hors d'état.",PRÉVU,Phase 7,
Combat & mort,Revenir,"Après un délai d'éligibilité dans un centre de cuves de clonage, vous choisissez : revenir immédiatement mais affaibli (un malus qui s'estompe, d'autant plus fort que vous revenez tôt) — ou rester dans les Limbes et revenir pleinement guéri.",PRÉVU,Phase 7,
Combat & mort,Tuer laisse une trace,"Exécuter un joueur marque le tueur : un traumatisme cumulatif qui s'estompe lentement (malus de sang-froid, flashs intrusifs, un signe lisible par les personnages perspicaces). La mort pèse des deux côtés.",PRÉVU,Phase 7,
Stats & progression,Quatre attributs,"Corps (encaisse, portage, labeur), Agilité (initiative, esquive, furtivité, précision), Perception (remarquer, entendre, reconnaître les gens), Logique (hacking, ingénierie, médecine, analyse).",PARTIEL,Phase 5,"La répartition de points à la création est en ligne ; les attributs alimentent les tests au fur et à mesure que chaque système arrive."
Stats & progression,Une seule formule de dés partout,"Chaque action contestée est d10 + attribut + compétence contre une difficulté, lancée par le serveur — aucune triche possible côté client.",PRÉVU,Phase 5,
Stats & progression,Les compétences progressent par l'usage,"Utilisez une compétence et elle s'améliore — plafonnée par jour avec rendements décroissants, pour que le botting ne paie pas.",PRÉVU,Phase 5,
Stats & progression,De l'XP rien qu'en jouant,"Tout rapporte de l'XP : parler (avec garde-fous anti-farm — et plus d'XP quand des gens vous entendent), se déplacer, travailler, combattre, creuser. Jouer normalement fait monter de niveau ; rien ne vaut la peine d'être farmé. Les montées de niveau augmentent les attributs.",PRÉVU,Phase 5,
Stats & progression,Les gros chantiers en « horloges de tâche »,"Les grandes actions — fouiller des ruines, opérer, réparer — tournent en horloges : rester présent, jets discrets à intervalle régulier, progression au mérite, risque de complications. La progression persiste dans le monde : un patient reste en pleine opération, un trou reste à moitié creusé.",PRÉVU,Phase 5,
Stats & progression,Les lieux se souviennent,"Les lieux enregistrent ce qui s'y est passé — morts, blessures, sang, prise de drogues. Une action « enquêter » (Perception/Logique dans la durée) fait remonter les traces, classées par fraîcheur et par gravité. Les morts persistent des mois ; une tache de sang s'efface en quelques jours.",PRÉVU,Phase 5,"Certains traits l'étendent — ex. un flair du sang qui lit des traces plus anciennes."
Stats & progression,Évolutions de traits sur mesure,"Les paliers supérieurs de traits ne sont pas dans un menu : ils se gagnent par des mois de jeu ou des accomplissements, se conçoivent en dialogue avec le joueur, et sont fabriqués à la main par l'équipe en contenu live.",PRÉVU,Live-ops,
Stats & progression,De nouvelles capacités peuvent apparaître,"Le système de stats est piloté par les données : des attributs et compétences entièrement nouveaux peuvent se déverrouiller en cours de jeu pour tout le monde — la fiche qui gagne une ligne, c'est la révélation. (C'est la révélation de la magie, prévue de longue date.)",PRÉVU,Phase 12+,
Objets & inventaire,Inventaire & équipement complets,"Un sac à dos en grille plus un panneau d'équipement en poupée de papier (les emplacements dépendent de l'anatomie de votre race — les races à quatre bras en ont plus). Glisser-déposer, menus contextuels, infobulles.",PRÉVU,Phase 6,
Objets & inventaire,Des objets aux effets réels,"Les objets portent des mécaniques : armure, dégâts, protection auditive, dissimulation (alimente la reconnaissance), décorations de pion, portraits de remplacement. Restrictions de gabarit — l'équipement d'un Troll ne va pas à un Nain.",PRÉVU,Phase 6,
Objets & inventaire,"Poser, ramasser, enterrer","Les objets lâchés restent au sol ~10 minutes à la portée de tous ; les caches enterrées persistent indéfiniment. Les crédits sont de l'argent sur votre personnage, pas un objet à trimballer.",PRÉVU,Phase 6,
Objets & inventaire,Échange entre joueurs,"Une fenêtre d'échange sécurisée à deux volets entre joueurs adjacents — les deux confirment, l'échange est atomique, aucune fenêtre d'arnaque.",PRÉVU,Phase 12+,"Conçu ; planifié tard parce que les premiers échanges peuvent se faire en roleplay."
Objets & inventaire,Bricolage d'équipement,"Améliorer et modifier son matériel par un travail d'Ingénierie — avec un vrai risque d'échec.",PRÉVU,Phase 9,
Économie,Gagner : récupérer & fouiller,"L'argent entre dans le jeu par le travail : fouiller des sites en ruine dans le désert (horloges de fouille, rendement selon la richesse de la zone) et faire les poubelles en ville (tas de ferraille qui réapparaissent). Produit des ressources classées par qualité.",PRÉVU,Phase 9,
Économie,Comptoirs d'échange urbains,"Vendre ses ressources aux comptoirs tenus par l'IA de la ville, à des prix affichés fixés par l'équipe — le robinet de l'économie.",PRÉVU,Phase 9,
Économie,Un milieu tenu par les joueurs,"Entre gagner et dépenser, l'économie appartient aux joueurs : boutiques, services, salaires et affaires naissent du roleplay, pas de vendeurs PNJ.",PRÉVU,Phase 9,
Économie,Projets — tout acheter à l'IA de la ville,"Les joueurs pétitionnent l'IA de la ville (un terminal en jeu) pour réaliser presque n'importe quoi : un pont, un nouveau bar, une ligne de transport, même une fonctionnalité du jeu. Circuit : petite taxe de dépôt → l'équipe chiffre un prix → les joueurs le financent ensemble dans la durée → l'équipe construit et livre en jeu.",PRÉVU,Phase 9,"Le principal puits à crédits du jeu est littéralement le circuit de demande de contenu — et le levier de prix de l'équipe sur toute l'économie."
Économie,Dépenses du quotidien,"Tickets de transport, frais de clonage/résurrection, coûts (et échecs) d'amélioration d'équipement, matériaux de construction — et le loyer, quand le logement arrivera.",PRÉVU,Phases 9–12+,
Construction & édition,Éditeur de cartes (maîtres de jeu),"L'équipe peint les cartes dans le navigateur : palette de tuiles, pinceau/remplissage/pipette par calque, placement des collisions et des points d'apparition. La sauvegarde valide la carte, incrémente sa version et enregistre une révision.",EN LIGNE,Fait,"Le cœur V0 est en ligne et réservé aux admins ; annotations et peinture par gabarit restent à venir."
Construction & édition,Historique des versions & retour arrière,"Chaque sauvegarde conserve la version précédente ; annuler une mauvaise édition est une seule action.",PARTIEL,Phase 8,"Les révisions sont enregistrées à chaque sauvegarde dès aujourd'hui ; l'interface pour parcourir et restaurer arrive en Phase 8."
Construction & édition,Mises à jour de carte en direct,"Les éditions de l'équipe se propagent instantanément dans le monde en cours — les joueurs voient le changement sans redémarrage.",PRÉVU,Phase 8,
Construction & édition,Concepteur de monde (équipe),"L'outil à l'échelle de la ville : peindre la richesse en ressources sur la carte du monde, dessiner de nouvelles villes quartier par quartier, tracer les lignes de transport, placer trésors et sites de quête, et prévisualiser la génération procédurale avant de valider.",PRÉVU,Phase 8,"Aussi l'outil qui livre les Projets de fondation de ville financés par les joueurs."
Construction & édition,Concevoir son propre bâtiment,"Les propriétaires réaménagent l'intérieur de leur bâtiment avec un éditeur bridé : emprise et sorties fixes, palette de meubles/tuiles sur liste blanche, et validation automatique (chaque pièce accessible, aucune sortie condamnée). Tuiles et meubles coûtent de vrais matériaux et crédits. Droits de co-édition pour colocataires ou employés.",PRÉVU,Phase 11,"Choix de modération par ville : publication instantanée ou file d'approbation par l'équipe."
Construction & édition,Murs & sols personnalisés,"Les propriétaires peuvent téléverser des images pleine paroi pour rhabiller entièrement une pièce — via les mêmes contrôles de taille et la même file de validation que les portraits.",PRÉVU,Phase 11,
Construction & édition,Éditeur de donjons & d'énigmes (équipe),"Créer des sites d'aventure : tables d'apparition d'ennemis, placement du butin, scripts d'événements — et des énigmes câblées entre appareils : terminaux à devinettes, digicodes (codes à apprendre en jouant — trouvés sur une note, surpris dans une conversation), serrures, séquences d'interrupteurs, plaques de pression (parfois sensibles au gabarit : une énigme que seul un petit personnage peut franchir, ou qui exige le poids d'un Troll), portes minutées, nœuds de hacking.",PRÉVU,Phase 10,
Construction & édition,Boîte à outils de modération & MJ,"Téléportation, expulsion, sourdine, annonces serveur, recherche complète dans les journaux de chat, file de validation des avatars, gestion du circuit des Projets, surveillance des instances, tableaux de bord économiques.",PRÉVU,Phase 8,
Communauté,Forum communautaire (hors-personnage),"Catégories, fils et réponses — en ligne aujourd'hui. Les messages sont attribués à votre compte, volontairement hors des règles d'identité du jeu.",EN LIGNE,Fait,
Communauté,Forum en personnage,"Un forum distinct, plus tardif, où l'on poste en tant que personnage — et où la signature passe par les mêmes règles de reconnaissance que le chat, pour que vos alts restent indissociables.",PRÉVU,Phase 12+,
